detection_datetime,transmitter_id,tagging_project_name,species_common_name,species_scientific_name,animal_sex,receiver_project_name,installation_name,station_name,receiver_name,receiver_deployment_longitude,receiver_deployment_latitude,transmitter_sensor_type,transmitter_type,transmitter_estimated_battery_life,transmitter_deployment_longitude,transmitter_deployment_latitude,transmitter_deployment_datetime
17/12/2021 23:07,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
17/12/2021 22:32,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
1/10/2021 17:09,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
1/10/2021 16:56,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
1/10/2021 16:54,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
16/09/2021 19:41,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
16/09/2021 19:40,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/08/2021 3:45,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/08/2021 3:44,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/08/2021 3:42,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
